Month_Year,URL,Title,Title,Date,Description,
March 2019,https://little-berlin.squarespace.com/calendar/2019/3/9/brandon-spicer-crawley-opening-reception,Brandon Spicer-Crawley Opening Reception,BRANDON SPICER-CRAWLEY OPENING RECEPTION,"Saturday, March 9, 2019",,
February 2019,https://little-berlin.squarespace.com/calendar/2019/2/9/queer-moving-image-review-screening,Queer Moving Image Review Screening,QUEER MOVING IMAGE REVIEW SCREENING,"Saturday, February 9, 2019","Queer Moving Image Review is an online exhibition space designed to showcase queer artists working in moving image, the submissions are free and they have screened work from queer artists around the world. www.queermovingimage.com

Program:

1. Heat- Nicolas Bermeo and Pauline Gloss

2. Yarn Mountain- Toban Nichols, Kolbe Roper and Roman Udalov

3. The Log- Antonia Luxem

4. Sock Neck- Hannah Hiaasen and Sara Sowell

5. Countercharge- Alex Hovet

6. CQ Tokyo- Diego Barerra

7. Trans:formation- Mariam Magsi",
January 2019,https://little-berlin.squarespace.com/calendar/2019/1/12/opening-reception-for-study-me-as-much-as-you-like-you-will-not-know-me,"Opening Reception for Study Me As Much As You Like, You Will Not Know Me","OPENING RECEPTION FOR STUDY ME AS MUCH AS YOU LIKE, YOU WILL NOT KNOW ME","Saturday, January 12, 2019","Participating Artists:
Cindy Cheng
Magnolia Laurie
Bill Schmidt
Nick Primo
Leyla Rzaye


Show Dates: January 12th-Feb 3rd

Gallery Hours Sundays 12-4pm


  Persistently mining material, architectural and organic form, and structural decay, Cindy Cheng, Magnolia Laurie, Bill Schmidt, Nick Primo, and Leyla Rzayeva respond to the intersection of these subjects with the “self” across a spectrum of art mediums. These works explore their diverse instinctual responses to the natural world through subversion of formal uses of line and structural elements. Displayed together, the artwork works describe individual investigations into current social and political narratives and the transformation of these narratives into playful  and unpredictable representations. ",
December 2018,https://little-berlin.squarespace.com/calendar/2018/12/8/tango-a-group-exhibition-by-the-front-collective,Tango: A Group Exhibition by The Front Collective,TANGO: A GROUP EXHIBITION BY THE FRONT COLLECTIVE,"

          Saturday, December 8, 2018


            6:00 PM
            18:00




          Sunday, January 6, 2019


            4:00 PM
            16:00


        ","Artists:

Kevin Baer, David Bordett, Vanessa Centeno, Patrick Coll, Lee Deigaard, Tom Friel, Nurhan Gokturk, Robyn LeRoy-Evans, Cristina Molina, Kelly A.  Mueller, Ruth Owens, Alex Podesta, Claire Rau, Cynthia Scott, Jamie Solock, Patch Somerville, Jonathan Traviesa, Madeleine Wieand, and Ryn Wilson

Tango, this powerful dance of confrontation, submission, and support gives kinetic representation to our interactions as a successful artist collective. The defining operational principle of “The Front” is one of collaboration, which involves unabashed and direct communication. We are kind and supportive of our members, while at the same time, not afraid to express confrontational opinions in our monthly meetings. We participate in a group tango of trust, to bring exciting and rewarding programming to our unique gallery space on a monthly basis.

To honor our spirit of collaboration, we channel the idea of working with others for the “Tango” exhibition. We each have our own distinctive approach, and present works that explore relationships with other humans, with other animals, with the environment, and with history. The works are as varied as our members, and the excitement of this accumulation is testament to the power of working together in an open and forthright manner.

www.nolafront.org",
November 2018,https://little-berlin.squarespace.com/calendar/2018/11/15/call-for-new-members,Call for New Members,CALL FOR NEW MEMBERS,"Thursday, November 15, 2018",,
October 2018,https://little-berlin.squarespace.com/calendar/2018/10/27/the-edge-of-precarity,The Edge of Precarity,THE EDGE OF PRECARITY,"Saturday, October 27, 2018","Little Berlin presents THE EDGE OF PRECARITY, an exhibition of works by four Philadelphia-based artists: Stephanie Cayer, Sarah Hayward, Gabrielle Constantine and Sarah Grisham. The artists explore the precarious position of the contemporary art-worker though text paintings, textured sculptures, receipt logs, and their life ""experience"". 

This exhibition acknowledges that the typical working artist does not get paid for their art-work and must engage in freelance work to keep their practice afloat, in addition to the unpaid work they do in the hopes that they will “get their break” in the future. During the broad separation of art and work that happened during the industrial era, labor-value became limited to profitable production as the basis for work. This reduced the cultural producer to hobbyist and has led to the glorification of sacrifice in the arts with a belief that creativity is nourished through suffering and pain. The EDGE OF PRECARITY asserts intellectual or cultural production as an alternative to material production, and declare it be given a higher status in society.

Participating Artists:
Stephanie Cayer
www.stephaniecayer.com
Sarah Grisham
www.sarah-grisham.com
Sarah Heyward
www.sarahloisheyward.com
Gabrielle Constantine
http://cargocollective.com/gabrielleconstantine

This exhibition was curated by Danielle Degon in the Annex Space of Little Berlin.",
September 2018,https://little-berlin.squarespace.com/calendar/2018/9/29/nostalgia-of-land,Nostalgia of Land,NOSTALGIA OF LAND,"Saturday, September 29, 2018","ARTIST PANEL DISCUSSION 6 PM
PERFORMANCE BY KRISTINE RUNMAN 7PM

""Where do we belong and where we are from?"" are kinds of questions that are always tied to the idea of territory. Day by day migration is becoming a vital issue in our world. Due in part to globalization, land and identity are frequently viewed from a variety of different perspectives; sometimes even a misinformed or directly opposing perspective. But this issue gives us the opportunity to investigate those individuals who deal with and express their thoughts about the complexity of land. “Nostalgia of Land” is bringing three artists Kristine Rumman, David F Walsh and Stave Yosha, who deal with the complexity and the politics of the land which relates to their personal history. That history is different for each of them, but one common thread is perspective. It’s historical, identical, and maybe in a certain way ideological. They might, might not stay in that land or on that history, but they dig their attachment, their belonging to the land. There is somehow a tone of losing or maybe a portion of darkness which reflects their honesty to their work. ""Nostalgia of Land"" proudly combines these three artists to enhance our thinking and ideas on these ongoing issues of our society.

Participating Artists:

Dave F. Walsh

Kristine Rumman

Stav Yosha

Guest curated by Shwarga Bhattacharjee     ",
August 2018,https://little-berlin.squarespace.com/calendar/2018/8/31/codes,Codes,CODES,"Friday, August 31, 2018",A performance work featuring new drawings by Tiffany Lin,
July 2018,https://little-berlin.squarespace.com/calendar/2018/7/14/sincerely-yours-opening-and-poetry-reading,Sincerely Yours Opening and Poetry Reading,SINCERELY YOURS OPENING AND POETRY READING,"Saturday, July 14, 2018","Little Berlin presents an exhibition of un-edited journal pages, left-handed drawings, telephone poetry, wholesome woodcuts, collected objects and toilet-paper pranks. Romantic, painful, direct and sweet—these documents of creative exercise, poetic confessions and delicate installations are willing to be completely honest with you. 

June 9–29, 2018
Opening Reception: July 14, 6-9pm
Poetry Reading organized by Amy Saul-Zerby: July 14, 7pm
Gallery Hours: Sundays 12–4 + by appointment

Featuring works by:
Trevor Grabill
illesha Khandelwal
Voicemail Poems (Jamie Mortara + Amy Saul-Zerby)
Ashley Yang-Thompson
Eleni Theodora Zaharopoulos

Curated by Little Berlin member Cayla Lockwood",
June 2018,https://little-berlin.squarespace.com/calendar/2018/6/30/weathered-dreams,Weathered Dreams,WEATHERED DREAMS,"

          Saturday, June 30, 2018


            6:00 PM
            18:00




          Sunday, July 15, 2018


            4:00 PM
            16:00


        "," 

 

Weathered Dreams
Opening on Saturday, June 30th from 6-9 PM
Exhibition on view until July 15th.

Little Berlin is pleased to present an exhibition of works by Alejandra Zavala, Graciela Vasquez and Candy Alexandra González entitled “Weathered Dreams”. This group of artists explores issues of intersectional identity and migration through illustration, mixed media and installation artwork. At a time when social media has made ICE raids, deportations and the incarceration of immigrants available for consumption, it is critical to uplift the works of artists who are directly impacted by anti-immigrant policies. Weathered Dreams was curated by Candy Alexandra with the intention of centering young, Latinx, people of color, immigrant/children of immigrant narratives. Each of the artist’s pieces will be exhibited alongside zines from the Little Berlin zine collection that are in direct conversation with the core themes of the exhibition.

The opening for Weathered Dreams is being organized in collaboration with Juntos, a community-led, Latinx immigrant organization based in South Philadelphia. The opening event will provide attendees the opportunity to learn more about Juntos’ initiatives and ways to better support Philadelphia’s immigrant communities. 

~

Alejandra Zavala’s passion for art started at a young age. She is inspired by the colorful surroundings of her childhood in Mexico--from her abuelita's apron and beautiful garden of exotic flowers, to the altar they built together every Día de los Muertos (Day of the Dead) and the fruit stands her family ate from daily. Alejandra’s artwork is rooted in the heartbreak of leaving her homeland, a blending of cultures and the comfort of new friendships.

Alejandra is a Lancaster based artist. She received her BA from Franklin & Marshall College in 2016.

~

Graciela Vasquez (Chelitasdesign) is a Latinx artist/activist who dedicates their time to representing their family's history through art. After their father was deported to his home country in 2006, Graciela focused their art on their Latinx heritage, immigrant’s rights and religious influences. Graciela hopes that sharing their experiences through their artwork will impact those who see themselves reflected in the work.

Graciela is a first generation college graduate and received their BFA from Moore College of Art & Design in May 2018. 

~

Candy Alexandra González is a Latinx papermaker, printmaker, book artist and young poet from Miami, FL. In their visual and written work, Candy Alexandra centers the narratives of Latinx immigrants and captures the essence of their own experiences as a first generation Latinx immigrant in the United States. 

Candy Alexandra received their BA in Romance Languages and Literature from Mount Holyoke College in 2014 and their MFA in Book Arts and Printmaking from The University of the Arts in 2017. 

The Annex at Little Berlin
2430 Coral St. 
Philadelphia, PA 19125

In addition,

Please join us for the closing reception of HICKEY, including works by Max Adrian, Kyle Vu-Dunn, Stephen Grebinski, Paul Peng, Curtis Welteroth and Justin Woody. The exhibition is curated by Fred Blauth and Eric Anthony Berdis.

HICKEY irreverently presents tales of intimacy and identity through the works of six queer men. By using traditional mediums such as paint, paper, pencil and fiber, then subverting their applications, the artists in the exhibition simultaneously make light of and shine light on, the absurdities of finding one’s self and then sharing with another. 

Aphrodisiacs have been sculpted from paper. Furries search for love. Dream homes become haunted houses. Floor to ceiling tapestries have been woven from hair. Voodoo dolls become dog toys. Beauty hurts. In an age where hetero normative social standards have begun to slip back into the LGBTQIA+ community, the artists in HICKEY stand by the strangeness that accompanies queerness. 


The Gallery at Little Berlin
2430 Coral St. 
Philadelphia, PA 19125",
May 2018,https://little-berlin.squarespace.com/calendar/luanjoysherman,Homecoming,HOMECOMING,"

          Saturday, May 26, 2018


            12:00 PM
            12:00




          Sunday, June 10, 2018


            4:00 PM
            16:00


        ","HOMECOMING

First solo exhibition of Luan Joy Sherman

 

May 26- June 10, 2018

Opening reception: May 26th, 6-9pm

The Annex at Little Berlin, 2430 Coral Street, Philadelphia PA, 19125",
April 2018,https://little-berlin.squarespace.com/calendar/2018/4/7/dew-point,Dew Point,DEW POINT,"

          Saturday, April 7, 2018


            6:00 PM
            18:00




          Wednesday, April 25, 2018


            7:00 PM
            19:00


        ","DEW POINT | A GROUP EXHIBITION, opening reception April 7th 2018 from 6-9pm, features the work of AnaMaria Garcia, Chloe Inez, AJ Adriance, Bridget McKenna, Tiana Zurawski, s. malandra-myers, Shaina Nyman, Liz Waldie, John Marie, Dylan Pearce, Tony Joyce, Hailey Bruinsma, JAMi, Hannah Hopkins, Larisa Fox and Tony DiGiugno. A collection of image-based works by The University of Arts Photography Class of 2018, 

DEW POINT runs through April 25th. In conjunction with the exhibition, there will be a film screening night on April 14th at 7pm.",
March 2018,https://little-berlin.squarespace.com/calendar/2018/3/10/a-home-is-what-is-a-home,A HOME IS WHAT IS HOME,A HOME IS WHAT IS HOME,"

          Saturday, March 10, 2018


            6:00 PM
            18:00




          Saturday, March 24, 2018


            6:00 PM
            18:00


        ","A HOME
  IS WHAT
     IS HOME

 

6 artists exploring home life through art.

 

March 9 - 30th

Opening Reception (Little Berlin): Saturday, March 10th, 6-9pm A HOME IS WHAT IS HOME

Closing Reception (Artist Invitational): Saturday, March 24th, 6-9pm WELCOME HOME


 

When visualizing domesticity one may imagine some elements of a fleeting idea of a vision of a home in the suburbs with two kids and a dog. What is presented and explored as a theme throughout the curation of the show is all the ways that the “ideal life” does not actually exist. And yet, americans are constantly bombarded with imagery, fashion and merchandise that rely on a heteronormative ideal. The goal of this show is to blend schema that relate to each artists experience of domesticity with elements of abstraction to create new associations with how we explore and celebrate our lives.

 

The artists in A HOME IS WHAT IS HOME showcase artwork that reinvents the schema prevalent in ads, interior design and fashion to create a curated space that represents some of the ways that life and the things we live with are all different, and therefore beautiful. In the way which there are multiple forms of artwork representing multiple viewpoints, the curatorial goal is to create a space in which the guests leave the show with new ways of viewing their own lives and those of others.",
February 2018,https://little-berlin.squarespace.com/calendar/2018/2/3/recommendation-for-a-landmark-new-works-by-danica-radoshevich,Recommendation for a Landmark: New Works by Danica Radoshevich,RECOMMENDATION FOR A LANDMARK: NEW WORKS BY DANICA RADOSHEVICH,"

          Saturday, February 3, 2018


            7:00 PM
            19:00




          Monday, February 26, 2018


            8:00 PM
            20:00


        ","February 3rd - 26th
Opening Reception: February 3rd, 2018 // 7pm - 9pm
Gallery Hours: Sundays 12 - 4pm + By Appointment

 

In Recommendation for a Landmark, Danica Radoshevich has created a body of work exploring the dissociative space of American motorways. Mining the forms of strip malls, roadways and construction signage, Radoshevich’s new pieces reflect on the structures made invisible through constant overexposure in daily urban life. Sitting in between painting, sculpture and installation, these artworks ask the audience to reconsider the mental geographies of banal lived experience, embracing a new context for the unassuming.

 

Curated by Little Berlin member Alex Schechter
__
Little Berlin
2340 Coral Street
Philadelphia, PA 19125
Littleberlin.org
berlin.little@gmail.com",
January 2018,https://little-berlin.squarespace.com/calendar/estzine,EST & UTC +5 -- zine available,EST & UTC +5 -- ZINE AVAILABLE,"

          Sunday, January 28, 2018


            12:30 PM
            12:30




          Wednesday, January 31, 2018


            1:30 PM
            13:30


        ","EST & UTC + 5

Ten Collaborative Projects by Twenty Artists

Exhibitions: January 13 - 28th

Little Berlin, 2430 Coral Street, Kensington, Philadelphia PA

FOMMA Trust, FDAC, Zamzama Park, Zamzama Boulevard, Phase 5, DHA, Karachi, Pakistan

 

Zine available online (free) and at Little Berlin (for purchase)",
December 2017,https://little-berlin.squarespace.com/calendar/openmembercall2018,Open Call for Members,OPEN CALL FOR MEMBERS,"

          Thursday, December 21, 2017


            6:30 PM
            18:30




          Tuesday, January 9, 2018


            7:30 PM
            19:30


        ","LITTLE BERLIN OPEN CALL

APPLICATION FOR MEMBERSHIP

Deadline: January 15th at Midnight

Little Berlin welcomes your application for membership. We are a collective of artists and curators committed to experimental and innovative programming and exhibitions. Our focus is on visual arts, without any clearly defined expectations of what that means. Our collective is unique for its emphasis on curation and programming: members support one another to promote artists and ideas beyond the art practices of individual members.

Based in the Kensington neighborhood of Philadelphia, we occupy facilities that can accommodate a wide range of artworks and display methods. Each member has the opportunity to create one month-long exhibition in the Little Berlin main gallery space per year (on average) and also to initiate many programs and smaller shows in our Annex space in an on-going, flexible rotation. Our collective also participates in many external events in Philadelphia and beyond. We frequently host and participate in exchanges with other artists and collectives. Each member brings vision, commitment, skills, and work-ethic to the collective; in turn, each member benefits equally from Little Berlin’s resources and reach.

WE INVITE YOU TO SUBMIT THE FOLLOWING MATERIALS VIA EMAIL TO BERLIN.LITTLE@GMAIL.COM.

Please title the subject line “Membership Application” and in a single PDF document combine:

COVER LETTER (300-500 WORDS)

List your contact information (with any applicable links to websites, projects, etc.)

List you preferred pronouns.

Introduce yourself and describe what you can contribute to Little Berlin.

Describe what you hope to gain from membership at Little Berlin.

Describe an exhibition or event that you would like to organize at Little Berlin.

Answer: Do you live in Philadelphia and are you able to attend Little Berlin events and meetings? 
(Tell us a bit about your schedule and your relationship to the city.)

CV OR RESUME (3 PAGE MAX)

ARTIST/CURATORIAL STATEMENT (2 PAGE MAX)

3-5 IMAGES OF YOUR ARTWORK OR EXHIBITIONS YOU HAVE CURATED (RESIZE TO 1280-1920 PIXELS ON LONG END @ 72 DPI)

Little Berlin will only review complete applications. We will contact you if you are a finalist for membership. The collective will meet with all finalists in person before extending invitations to join Little Berlin. At this stage you also have the opportunity to ask detailed questions to help you decide if Little Berlin is the right fit for you. Membership in Little Berlin entails pro-active involvement in your own curatorial endeavors, a commitment of several hours per month of hands-on support for the upkeep of our space and the implementation of programs, regular attendance at meetings, steady and responsive communication, and the payment of monthly member dues.

 ",
November 2017,https://little-berlin.squarespace.com/calendar/2017/11/11/natural-phenomena,Natural Phenomena,NATURAL PHENOMENA,"

          Saturday, November 11, 2017


            8:30 PM
            20:30




          Thursday, November 30, 2017


            9:30 PM
            21:30


        ","NOVEMBER 2017 AT LITTLE BERLIN
MAIN GALLERY
NATURAL PHENOMENA

November 11th - November 25th 2017

Opening Reception: November 11th 6:00 - 9:00pm

Gallery Hours:

Sunday, November 12th and Sunday November 19th, 12:00-4:00pm

Little Berlin

2430 Coral Street

Philadelphia PA 19125

 

Natural Phenomena (Painting Show) is a collaboration of human-made and nature-made artworks and performative experiences.  Using color, portraiture, and personal narrative, participating artists collapse distinctions between traditional and contemporary picture-making.  Boundaries between artist, viewer, and environment dissolve.

 

Participating artists:

 

Miles Burke (Austin, TX)

Kathryn Hedley (Philadelphia, PA)

Drew Kohler (Philadelphia, PA)

Douglas Kueker (Detroit, MI)

Bettina Nelson (Philadelphia, PA)

Jeanne O'Shell (Philadelphia, PA)

""Party"" (Steve) (Philadelphia, PA)

Tiago Schmidt (Philadelphia, PA)

Chuck Schultz (Philadelphia, PA)

Virginia Mae Smith (Philadelphia, PA)

Louise Vinueza (Birchrunville, PA)

Vera Weinfield (Greensboro, NC)

with Veronica Ponce de Leon (Philadelphia, PA)

and Mackenzie Fox (Washington, DC)

 

curated by Alyssa Kreilick

 

Little Berlin will be donating half of the proceeds from the opening reception of Natural Phenomena to Hurricane Maria relief efforts in Puerto Rico.

Also on view will be selections from Little Berlin's zine library.

for more information, please contact Alyssa Kreilick: alyssakreilick@gmail.com

 

 

ADDITIONAL PUBLIC EVENTS:

Community Art Talk:

Members of Little Berlin and participating artists from Natural Phenomena will facilitate an open-ended conversation to discuss the artwork and Little Berlin's role in the Kensington community.  Sunday, November 12th, 12:00-2:00pm

Opening Reception of J. Pascoe's Annex Exhibition, ""Self-Care"" and Little Berlin Community Potluck.  

Saturday, November 18th, 6:00-9:00pm

Annex Film Screening of ""Vacation in November"" curated by Em Jensen + Closing Reception for Natural Phenomena.  

Saturday, November 25th, 6:00-9:00pm 

 ",
October 2017,https://little-berlin.squarespace.com/calendar/2017/10/13/freaky-friday-costume-karaoke,Freaky Friday Costume Karaoke,FREAKY FRIDAY COSTUME KARAOKE,"Friday, October 13, 2017","Bring your costumes.
Practice your tunes.

Invoke the spirit of Friday the 13th.",
September 2017,https://little-berlin.squarespace.com/calendar/2017/9/4/ships-and-boats-a-screening-now-then-closing,ships and boats - a screening and Now then closing,ships and boats - a screening and Now then closing,"Thursday, September 28, 2017","About the films

 

Kwassa Kwassa

Kwassa Kwassa is a film work by SUPERFLEX portraying the construction of a boat on the island of Anjouan, in the Comoro archipelago between Madagasgar and Mozambique. Although usually used for fishing, boats like the one built in the film are in many cases also used for transporting migrants to the neighbouring island of Mayotte, a French oversea territory and the outermost region of the EU. The islands are 70 km apart – separated by a seemingly short, but life-threatening journey that has claimed more than 10,000 lives of women, men and children. Kwassa Kwassa interprets the boat as a contextual construction intended to carry migrants on a dangerous, politically complex journey. Carrying more than symbolic meaning as a vessel for dreams of reaching a better life on the other shore, the boat is also a labor-intensive work of craftsmanship and the physical passage bearing human lives to safety – as the title questions in translation “an unstable boat” from the language of the Comoro Islands.

Courtesy of SUPERFLEX

The Forgotten Space

The Forgotten Space follows container cargo aboard ships, barges, trains and trucks, listening to workers, engineers, planners, politicians, and those marginalized by the global transport system. We visit displaced farmers and villagers in Holland and Belgium, underpaid truck drivers in Los Angeles, seafarers aboard mega-ships shuttling between Asia and Europe, and factory workers in China, whose low wages are the fragile key to the whole puzzle. And in Bilbao, we discover the most sophisticated expression of the belief that the maritime economy, and the sea itself, is somehow obsolete.

A range of materials is used: descriptive documentary, interviews, archive stills and footage, clips from old movies. The result is an essayistic, visual documentary about one of the most important processes that affects us today. The Forgotten Space is based on Sekula’s Fish Story, seeking to understand and describe the contemporary maritime world in relation to the complex symbolic legacy of the sea.

Courtesy of the Allan Sekula, Noël Burch, and Doc.Eye Films

 

The Column

Courtesy of the artist and Galerie Peter Kilchmann ",
