year,date,title,author,pub,link
2016,8/30/2016,Villus - International art Plus food roundup at Little Berlin,Roberta Fallon,theartblog,http://www.theartblog.org/2016/08/judith-schaechterjustin-tyners-contemporary-stained-glass-excellence-gallery-shout-outs-penn-humanities-forum-hosts-rebecca-solnit-plus-opportunities/
2015,4/10/2015,Beauty ban — First Friday recap by the St. Claire,The Nicola Midnight St. Claire,theartblog,http://www.theartblog.org/2015/04/beauty-ban-first-friday-recap-by-the-st-claire/
2015,4/8/2015,Little Berlin discovers vision on the small screen with mobile devices,Chip Schwartz,Knight Arts,http://www.knightarts.org/community/philadelphia/little-berlin-screens
2015,3/30/2015,SCREENS: An Art Exhibit For Handheld Devices at Little Berlin,Mike Fenn,Geekadelphia,http://www.geekadelphia.com/2015/03/30/screens-an-art-exhibit-for-handheld-devices-at-little-berlin/
2014,3/14/2014,"The Place of Dead Roads at Little Berlin, by Kelley Stone for Paperclips215, March 14, 2014",Kelley Stone,Paperclips215,http://www.paperclips215.com/the-place-of-dead-roads-at-little-berlin/
2014,4/25/2014,"Art, fashion, and rock join forces in local shows",Brion Shreffler,Philadelphia Inquier //  Philly.com,
2014,5/8/2014,Play PHL Collective’s virtual reality game at Little Berlin this Friday,Juliana Reyes,Technical.ly Philly,http://technical.ly/philly/2014/05/08/little-berlin-peter-erickson/
2014,6/4/2014,"SOLOW FLASH INTERVIEWS 2014, EPISODE SIX: STEVEN WEISZ, MELISSA RAUB & ROBERT GROSS",Julius Ferraro,Phindie,http://phindie.com/solow-flash-interviews-2014-episode-six-steven-weisz-melissa-raub-robert-gross-4157/
2014,6/15/2014,"Plato’s Porno Cave: The Trial (Little Berlin): Surrealist party, imagery orgy",Julius Ferraro,Phindie,http://phindie.com/platos-porno-cave-the-trial-little-berlin-surrealist-party-imagery-orgy-4263/
2014,7/23/2014,Artscape Diary: Three Days of Art Tourism in Baltimore,Whitney Kimball,Art F City,http://artfcity.com/2014/07/23/artscape-diary-three-days-of-art-tourism-in-baltimore/
2014,8/5/2014,How Philly’s arts scene does tech [Technical.ly Podcast],Juliana Reyes,Technically Philly,http://technical.ly/philly/2014/08/05/philly-arts-tech-podcast/
2014,10/1/2014,"When art and tech intersect, we get grills 3-D printed from hip-hop lyrics",Mikala Jamison,City Paper,http://citypaper.net/Blogs/When-art-and-tech-intersect-we-get-grills-3-D-printed-from-hip-hop-lyrics
2014,10/3/2014,New exhibition asserts: programming is for artists too,Emma Jacobs,Technically Philly,http://technical.ly/philly/2014/10/03/new-exhibition-asserts-programming-artists/
2014,10/4/2014,Review: Heavily Scripted: Generative Arts and Bots,Mary Anna Rodabaugh,Main Course,http://maincoursephl.com/reviews/little-berlin.html
2014,10/15/2014,"In East Kensington, Housing Development To Replace Little Berlin’s “Fairgrounds”",Emma Jacobs,Hidden City,http://hiddencityphila.org/2014/10/in-east-kensington-housing-development-to-replace-little-berlins-fairgrounds/
2014,10/20/2014,"This Week's Must-see Art Events: Throw Your Art Career in MoMA's Dumpster, by Whitney Kimball for Art F City, October 20 2014",Whitney Kimball,Art F City,http://artfcity.com/2014/10/20/this-weeks-must-see-art-events-throw-your-art-career-in-momas-dumpster/
2014,10/27/2014,"Micro-interviews of some Micromaniacs: Manon Manavit, Julius Ferraro, Drew Carroll, Scott Rodrigue, James Wadsworth Strong, Shelby Jackson",Julius Ferraro,Phindie,http://phindie.com/micromanias-interviews-6043/
2014,10/30/2014,New archive preserves Phila. art scene zines,Samantha Melamed,Philly.com,
2014,10/31/2014,"Review: Kevin McNamee-Tweed's ""Books""",STEPHANIE BURSESE,The St. Claire,http://the-st-claire.com/reviews/2014/10/kevin-mcnamee-tweed-at-little-berlin/
2014,11/3/2014,An Archive of Artists’ Zines Takes Root in Philly,Benjamin Sutton,Hyperallergic,http://hyperallergic.com/159454/an-archive-of-artists-zines-takes-root-in-philly/
2014,11/3/2014,"This Weeks Must-see Events, by Corinna Kirsch and Whitney Kimball for Art F City, November 3 2014",Corinna Kirsch and Whitney Kimball,Art F City,http://artfcity.com/2014/11/03/this-weeks-must-see-art-events-get-your-ass-to-this-contemporary-fluxus-theater-event/
2014,11/5/2014,"November First Friday picks: Grand opening, vaudeville, art",Allie Volpe ,Philly.com,http://www.philly.com/philly/blogs/things_to_do/November-First-Friday-picks-Grand-opening-vaudeville-art.html
2014,11/6/2014,Our Top Picks for First Friday in Philadelphia,Kristina Jenkins,Uwishunu,http://www.uwishunu.com/2014/11/our-top-picks-for-first-friday-in-philadelphia-with-vaudeville-at-the-barnes-bubbles-at-joan-shepp-late-night-at-fringearts-and-more-this-friday-november-7/
2014,11/7/2014,"November art bites: Philly's visual art worth seeing, by Mikala Jamison for Citypaper, November 7 2014",Mikala Jamison,Citypaper,http://citypaper.net/blogs/november-art-bites-phillys-visual-art-worth-seeing/
2014,12/16/2014,Review: Hard to Please,Matt Kalasky,The St. Claire,http://the-st-claire.com/reviews/2014/12/hard-to-please-at-little-berlin/
2013,2/26/2013,Artists collectives joining forces in Philly for City Wide initiative,Peter Crimmins,Newsworks,http://www.newsworks.org/index.php/local/arts-culture/51561-artists-collectives-joining-forces-in-philly-for-city-wide-initiative
2013,3/1/2013,"Yes, Bushwick, You’re Getting a Net Art Gallery",Whitney Kimball,The L Magazine,http://www.thelmagazine.com/2013/03/yes-bushwick-youre-getting-a-net-art-gallery/
2013,3/13/2013,"""Plato’s Porno Cave"" Is a Surreal Universe You Won’t find Elsewhere",,Philadelphia Weekly,http://www.philadelphiaweekly.com/arts-and-culture/art/197561101.html?addFav=Y
2013,3/13/2013,A Surreal Universe You Won’t Find Elsewhere,Nicole Finkbiner,for Philadelphia Weekly,http://www.philadelphiaweekly.com/arts-and-culture/197561101.html
2013,5/30/2013,Young artists: Don't move to NYC,Amanda V. Wager ,Philly.com,http://www.philly.com/philly/blogs/art_attack/The-NEW-NYC.html
2013,6/18/2013,Little Berlin highlights zine culture by Marc J. Snitzer and Jenine A. Pilla for Philadelphia Neighborhoods,Marc J. Snitzer and Jenine A. Pilla,Philadelphia Neighborhoods,http://philadelphianeighborhoods.com/2013/06/18/kensington-little-berlin-highlights-zine-culture/
2013,7/18/2013,The future of performance art,Amanda V. Wager ,Philly.com,http://www.philly.com/philly/blogs/art_attack/The-future-of-performance-art.html
2013,8/2/2013,Growth and Decay,Kat Zagaria,Paperclips215,http://www.paperclips215.com/growth-and-decay-at-little-berlin/
2013,8/12/2013,Introducing the Philadelphia Public History Truck,Victor Fiorillo,Philadelphia Magazine,http://www.phillymag.com/news/2013/08/12/philadelphia-public-history-truck/
2013,8/15/2013,Little Berlin takes an intrigue into living forms and structures | Knight Arts,Chip Schwatz,Knight Arts,http://www.knightarts.org/community/philadelphia/little-berlin-growth-and-decay
2013,9/4/2013,Listen to “Cat Mask at Huggie Temple” by Steve Gunn and Cian Nugent (playing Little Berlin on 9/13) | The Key,Julie Miller,The Key XPN,http://thekey.xpn.org/2013/09/04/listen-to-cat-mask-at-huggie-temple-by-steve-gunn-and-cian-nugent-playing-little-berlin-on-913/
2013,9/9/2013,Possible City | A project by little berlin to transform the empty lot between Boston and York Streets into an urban outdoor artspace.,,Possible City,http://possiblecity.co/projects/a-4-year-project-to-transform-the-empty-lot-betwee/
2013,9/13/2013,What in the world is Garbage World – A night of performances at Little Berlin | theartblog,Beth Heinly,theartblog,http://www.theartblog.org/2013/09/what-in-the-world-is-garbage-world-a-night-of-performances-at-little-berlin/
2013,9/20/2013,"News post – FJORD curates at RISD, “Teddy Bomber Plane” on the auction block, Chad Muthard’s new book arrives, Blaise Tobia at OK Harris, opportunities and more! | theartblog",alyssa greenberg,theartblog,http://www.theartblog.org/2013/09/news-post-fjord-curates-at-risd-teddy-bomber-plane-on-the-auction-block-chad-muthards-new-book-arrives-blaise-tobia-at-ok-harris-opportunities-and-more/
2013,10/9/2013,"This Little Berlin art exhibit is part video-game, part real-life",Juliana Reyes ,Technical.ly Philly,http://technical.ly/philly/2013/10/09/limits-and-demonstrations-little-berlin-lula-chamberlain/
2013,12/10/2013,"Noble, but useless: 3D printing guru on city’s 3D-printed gun ban",Juliana Reyes,Technically Philly,http://technical.ly/philly/2013/12/10/3d-printed-gun-nextfab/
2013,,Little Berlin Gallery’s striking pop-culture exhibit,Amanda V. Wagner,Philly.com,http://www.philly.com/philly/blogs/art_attack/What-If.html
2013,,New World Order of Plato’s Porno Cave,Julius Ferraro,Art Blog,https://www.theartblog.org/2013/03/the-new-world-order-of-platos-porno-cave-at-little-berlin/
2012,2/29/2012,BYOBeamer: Opening This Friday @ Little Berlin,Shannon Caulfield,Geekadelphia,http://www.geekadelphia.com/2012/02/29/byobeamer-opening-this-friday-little-berlin/
2012,3/6/2012,Little Berlin starts a “Flash Flood”,Chip Schwartz,Knight Arts,http://www.knightarts.org/community/philadelphia/little-berlin-flashfl00d
2012,4/23/2012,Best ideas for the Philadelphia arts receive $2.76 million in funding,,Knight Arts,http://www.knightfoundation.org/press-room/press-release/knight-arts-challenge-2012-philadelphia-winners/
2012,4/25/2012,Kensington: Little Berlin Provides Art Space,Whitney R. Segel and Stephen M. Rose,Philadelphia Neighborhoods,http://philadelphianeighborhoods.com/2012/04/25/kensington-little-berlin-provides-undefined-art-space/
2012,5/2/2012,"A sculpture garden grows in Kensington, by Hayden Mitman for Northeast Times, May 2, 2012",Hayden Mitman,Northeast Times,http://www.bsmphilly.com/2012/may/2/5122-a-sculpture-garden-grows-in-kensington.html/#.VSxPofnF98E
2012,5/10/2012,"Low Lives at Little Berlin – screenings live, and via the internet",Becky Huff Hunter,theartblog,http://www.theartblog.org/2012/05/low-lives-at-little-berlin-screenings-live-and-via-the-internet/
2012,5/15/2012,"Art Safari Episode 9 – We visit Peep, a painting exhibit",Libby & Roberta,theartblog,http://www.theartblog.org/2012/05/art-safari-episode-9-we-visit-peep-a-painting-exhibit-at-little-berlin/
2012,5/15/2012,PEEP: A curious look into painting,Eva Piatek ,Title Magazine,http://www.title-magazine.com/2012/05/peep-a-curious-look-into-painting/
2012,6/13/2012,The Aesthetics of Data at Little Berlin,Ben Meyer,theartblog,http://www.theartblog.org/2012/06/the-aesthetics-of-data-at-little-berlin/
2012,6/14/2012,"Little Berlin Combines Art and Music, by Chesney Davis for JUMP Magazine, ",Chesney Davis,JUMP Magazine,http://jumpphilly.com/2012/06/14/little-berlin-combines-art-and-music/
2012,7/6/2012,"Art exhibits explore words, the natural world and the history of chemistry",Amanda Wagner,Philadelphia Inquier //  Philly.com,
2012,7/22/2012,Little Berlin Show Dedicated to Art and Writing,Edie Newhall,Philadelphia Inquier //  Philly.com,http://www.philly.com/philly/entertainment/arts/20120722_Little_Berlin_show_devoted_to_art_and_writing.html
2012,7/24/2012,Little Berlin’s Fairgorounds Project,Sarah Schimineck,Frankford Ave Arts,http://www.frankfordavearts.org/little-berlins-fairgrounds-project/
2012,7/24/2012,Little Berlin has a lot on their plate (literally),Chip Schwartz,Knight Arts,http://www.knightarts.org/community/philadelphia/little-berlin-has-a-lot-on-their-plate-literally
2012,10/4/2012,Hey Philadelphia: Visit the Punk Arcade This Friday At Little Berlin,Brandon Boyer,VENUS PATROL,http://venuspatrol.com/2012/10/hey-philadelphia-visit-the-punk-arcade-this-friday-at-little-berlin/
2012,,>get >put at Little Berlin conceptualizes the Internet by Chip Schwartz for Knight Arts,,,
2012,,"DIY Video Game Exhibit Asks “Do You Feel Lucky, Punk?” by Nicole Finkbiner for Philadelphia Weekly",,,
2012,,"Kensington: Little Berlin Provides Art Space, By Whitney R. Segel and Stephen M. Rose for Philadelphia Neighborhoods",Whitney R. Segel and Stephen M. Rose for Philadelphia Neighborhoods,,
2012,,Overloaded with hyper-digital art by Ben Meyer for The Art Blog,,,
2012,,Prrrsona by Abby King for Title Magazine,,,
2012,,Punk Arcade by Nicole Finkbiner for 34th Street Magazine,,,
2011,5/24/2011,Art for Science’s sake,Peter Crimmons and Carolyn Beeler,Newsworks,http://www.newsworks.org/index.php/local//arts-culture/20227-24pczebra
2011,6/1/2011,Epic Pain @ Little Berlin,Becky Huff Hunter,White Hot Magazine,http://whitehotmagazine.com/articles/2011-epic-pain-little-berlin/2326
2011,6/25/2011,Whimsy for art’s sake: Fake office makes a real point,Peter Crimmons,Newsworks,http://www.newsworks.org/index.php/local//arts-culture/22109-whimsy-for-arts-sake-fake-office-makes-a-real-point
2011,8/23/2011,Enjoy Little Berlin’s New Exhibit – From Home!, Katherine Rochester,Philadelphia Weekly,http://www.philadelphiaweekly.com/arts-and-culture/art/Little-Berlin-Distributed-Collectives-2011.html
2011,9/8/2011,Braving the New World of Facebook,Peter Crimmins,Newsworks,
2011,11/18/2011,Collective Energy in North Philly,Roberta Fallon,theartblog,http://www.theartblog.org/2011/11/collective-energy-in-north-philly/
2011,11/22/2011,The Western Lands at Little Berlin – the viewer interaction challenge,Roman Blazic,theartblog,http://www.theartblog.org/2011/11/the-western-lands-at-little-berlin-the-viewer-interaction-challenge/
2011,12/6/2011,“The Western Lands” wraps up at Little Berlin,Chip Schwartz,Knight Arts,http://www.knightarts.org/community/philadelphia/western-lands-little-berlin
2011,12/14/2011,Philly Artists—Sick of the Mainstream Gallery System—Revive the Alternatives | Cover Story | News and Opinion | Philadelphia Weekly,Nicole Finkbiner,Philadelphia Weekly,http://www.philadelphiaweekly.com/news-and-opinion/cover-story/135535098.html?page=2&comments=1&showAll=
2011,Nov/Dec 2011,Distributed Collectives/Little Berlin,Becky Hunter for Artpapers,,
2011,,"The Edginess of Philly’s Art Collectives, By Roberta Fallon for The Daily News",Roberta Fallon for The Daily News,,http://articles.philly.com/2011-11-04/entertainment/30359919_1_young-artists-street-art-art-scene
2011,,"Thinking about materials, memory and process at Little Berlin, by Alison Mcmenamin for theartblog.org",,,
2010,2/23/2010,Community Meeting at Little Berlin,Beth Heinly,theartblog,http://www.theartblog.org/2010/02/community-meeting-at-little-berlin/
2010,5/16/2010,"See what happens – Evolutionary artwork at Projects, Bambi, and Little Berlin",Becca Kantor,theartblog,http://www.theartblog.org/2010/05/see-what-happens-evolutionary-artwork-at-projects-bambi-and-little-berlin/
2010,5/31/2010,City Blocks: Two Frankford Avenue Artists,Jeff Waring,The Metropolis,http://www.phlmetropolis.com/2010/05/city-blocks-two-frankford-avenue-artists.php
2010,6/26/2010,"Art, With A Chance of Attitude",David Muenzer,theartblog,http://www.theartblog.org/2010/06/art-with-a-chance-of-attitude/
2010,10/30/2010,"Video Served Three Ways – Little Berlin, Great and Terrible Collective and Rebekah Templeton",Tiernan Alexander,theartblog,http://www.theartblog.org/2010/10/video-served-three-ways/
2010,11/20/2010,"Kensington ramble to Crane Arts, Little Berlin, Rebekah Templeton, by Roberta for theartblog.org, ",Roberta Fallon,theartblog,http://www.theartblog.org/2010/11/kensington-ramble-to-crane-arts-little-berlin-rebbekah-templeton/
2010,11/23/2010,“Landscape Techne” at Little Berlin: artists explore Landscape to Contribute to Contemporary Art,Kathleen Vaccaro,theartblog,http://www.theartblog.org/2010/11/%E2%80%9Clandscape-techne%E2%80%9D-at-little-berlin-artists-explore-landscape-to-contribute-to-contemporary-art/
2010,,"‘What in the World?’ at the Penn Museum, Print Invitational at Little Berlin, ‘Dead Flowers’ at Vox Populi, by Andrea Kirsch for theartblog.org",,,
2010,,"A glimpse into Polish Culture & History while Studying Abroad, by Matthew Maycock for MIUSA",Matthew Maycock for MIUSA,,
2010,,"Fired up about clay the tour, Part 2 by Libby Rosof and Roberta Fallon for theartblog.org",,,
2009,2/10/2009,Little Berlin collectivizes!,Roberta,theartblog,http://www.theartblog.org/2009/02/little-berlin-collectivizes/
2009,3/3/2009,"Collective Goal, by Roberta Fallon for Philadelphia Weekly, March 3 2009",Roberta Fallon for Philadelphia Weekly,,http://www.philadelphiaweekly.com/arts-and-culture/Art-40663602.html
2009,3/4/2009,"Weekly Update – New energy, new members at Little Berlin | theartblog",Roberta Fallon,theartblog,http://www.theartblog.org/2009/03/weekly-update-new-energy-new-members-at-little-berlin/
2009,5/20/2009,Trenton Avenue Arts Festival,kelani nichole,theartblog,http://www.theartblog.org/2009/05/trenton-avenue-arts-festival/
2009,6/11/2009,"The Great Society at Little Berlin and Basekamp, by Libby for theartblog.org, ",Libby Rosof,theartblog,http://www.theartblog.org/2009/06/the-great-society-at-little-berlin-and-basekamp/
2009,10/6/2009,Breaking News at Little Berlin,Brandon Joyce,theartblog,http://www.theartblog.org/2009/10/breaking-news-at-little-berlin/
2009,10/7/2009,Zine of the Month | theartblog,Annette Monnier,theartblog,http://www.theartblog.org/2009/10/zine-of-the-month/
2009,,"Gallery Stretches Life Canvas for a Bit of Insight, by Alex Rose for Delaware County Time",Alex Rose for Delaware County Time,,
2009,,"Little Berlin’s Timely take on ‘Breaking News’ by Hayden Mitman for philly.com/Fishtown Star, October 2009",,,
2009,,"MACHETE VOL. 1 NO. 3 DECEMBER 2009, by Holly Martins",Holly Martins,,
2009,,"Offerings – exploring a group show, by Daniel Ostrov for The Examiner",Daniel Ostrov for The Examiner,,
2008,4/2/2008,"With Philadelphia artists conspicuously absent, the Whitney Biennial is a total downer",Roberta Fallon,Philadelphia Weekly,http://www.philadelphiaweekly.com/arts-and-culture/38466669.html
2008,4/4/2008,What color is your obsession?,Roberta Fallon,theartblog.org,
2008,5/11/2008,Zine of the Month,Annette Monnier,theartblog,
2008,5/26/2008,"Landscapes of the mind at Little Berlin, by Libby Rosof for theartblog.org, May 26 2008",Libby Rosof for theartblog.org,,
2008,6/25/2008,Little Berlin–from zoetropes to The Shining,Libby Rosof,theartblog,http://www.theartblog.org/2008/06/little-berlin-from-zoetropes-to-the-shining/
2008,9/6/2008,Bardo Pond at Little Berlin’s first birthday party | theartblog,Roberta Fallon,theartblog,http://www.theartblog.org/2008/09/bardo-pond-at-little-berlins-first-birthday-party/
2008,10/21/2008,The Best Ship is Friendship – alchemy at Little Berlin,Libby Rosof,theartblog,http://www.theartblog.org/2008/10/the-best-ship-is-friendship-alchemy-at-little-berlin/
2008,11/23/2008,Little Berlin pushes collaboration buttons,Roberta Fallon,theartblog,http://www.theartblog.org/2008/11/little-berlin-pushes-collaboration-buttons/
2007,10/3/2007,Space Cowboys: Gritty new DIY spaces point to the future of Philly art,Roberta Fallon,Philadelphia Weekly,http://www.philadelphiaweekly.com/arts-and-culture/space_cowboys-38460839.html
2007,10/5/2007,Weekly Update – New Alternative Spaces! | theartblog,Roberta Fallon,theartblog,http://www.theartblog.org/2007/10/weekly-update-new-alternative-spaces/
2007,10/18/2007,The wonderfulness of too much good stuff | theartblog,,theartblog,http://www.theartblog.org/2007/10/the-wonderfulness-of-too-much-good-stuff-2/
2007,10/24/2007,Disposable Culture,Kate Kilpatrick,Philadelphia Weekly,http://www.philadelphiaweekly.com/news-and-opinion/disposable_culture-38461574.html
2007,12/16/2007,nuts and berries: objects and not | theartblog,Annette Monnier,theartblog,http://www.theartblog.org/2007/12/nuts-and-berries-objects-and-not/
,,EXHIBITION REVIEW OF LITTLE WHITE CUBES II: LITTLE BERLIN by John Farnum for Radical Participation,,,
