Join Order,Member Name,URL,Website,Full Page Text,,Description
40,Sarah O’Donoghue,https://little-berlin.squarespace.com/sarah-odonoghue,sarahodonoghue.com,"SARAH O'DONOGHUE

sarahodonoghue.com

Sarah O'Donoghue is a visual artist, curator, and educator based in West Philadelphia. Her work is inspired by mythology, satire, fantasy, and experience. She received her BFA in 2009 from School of Visual Arts in New York City and her MFA in 2017 from American University in Washington DC. ",,
39,Jeremy Sims,https://little-berlin.squarespace.com/jeremy-sims,simsart.work,"JEREMY SIMS




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1508254650400-GP9YZO1GTW08R0Q2IZ4U/4.+GROUP+SHOT.jpg"" alt=""4. GROUP SHOT.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1508254685390-LEBHS5SBHZ8FNB6NQRKB/GROUP+SHOOOT.jpg"" alt=""GROUP SHOOOT.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1508254641320-D8OEUWW875IWUSKMZH70/After+You.jpg"" alt=""After You.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1508254701228-0YOCCJRS687RJPFCELKQ/HEGEMONICS.jpg"" alt=""HEGEMONICS.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1508254713924-G0Q0PLNN4Y8HPYSCQ8JH/Spial.jpg"" alt=""Spial.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1508254717480-GB4G9FQRLA5FZXWY9GUC/THE+SINGULARITY.jpg"" alt=""THE SINGULARITY.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-98003075faccf6122c07 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-98003075faccf6122c07 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




www.simsart.workJeremy Sims is an artist, collaborator and educator making work in Philadelphia. He is the Program Coordinator at University City Arts League and in the past has worked with various projects and collectives such as Nobody's Gallery and The Art Locker. In 2012 Jeremy was a resident artist at the Guldagergaard International Ceramics Research Center and has taught as Baltimore Clayworks and the Wayne Art Center. His favorite pattern is paisley or argyle and his artwork presents viewers with a bridge between design and abstraction. His inspiration comes from the binary between early and contemporary minimalism, design and free will, and also Ruskin and Morris. His artwork and other projects are available here. Jeremy Sims was born in Flower Mound, Texas but doesn't live there anymore. Past Exhibitions:March 2018: A Home is What is Home",JEREMY SIMS,"Jeremy Sims is an artist, collaborator and educator making work in Philadelphia. He is the Program Coordinator at University City Arts League and in the past has worked with various projects and collectives such as Nobody's Gallery and The Art Locker. In 2012 Jeremy was a resident artist at the Guldagergaard International Ceramics Research Center and has taught as Baltimore Clayworks and the Wayne Art Center. His favorite pattern is paisley or argyle and his artwork presents viewers with a bridge between design and abstraction. His inspiration comes from the binary between early and contemporary minimalism, design and free will, and also Ruskin and Morris. His artwork and other projects are available here. Jeremy Sims was born in Flower Mound, Texas but doesn't live there anymore.

 

Past Exhibitions:

March 2018: A Home is What is Home"
38,Em Jensen,https://little-berlin.squarespace.com/em-jensen,www.emjensen.net,"Em Jensen




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1498254363036-QC3ECITV9OHR6ERZ6Z0X/EmWork1.jpg"" alt="" SONY DSC "" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1498254361166-G1DXFKROGVPMJLD7WYOC/EmWork2.jpg"" alt=""EmWork2.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1498254361885-YZOS8ZHXTFLFXT2WI1YL/EmWork3.jpg"" alt=""EmWork3.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1498254363539-DNQPKDOQFDHLIO0XD1QE/EmWork4.jpg"" alt=""EmWork4.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-1e651461498d56a3d142 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-1e651461498d56a3d142 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




www.emjensen.net Em Jensen is an artist and poet in Philadelphia. Working primarily in video, performance, and sculpture, her work explores the many uses of comedy and satire.A majority of her work parodies personas of early/mid 2000s reality television. She is interested in how the language of performance and imitative comedy adds a layer of simulation to the already questionable media she appropriates.Em usually eats dinner at 10 pm and received her BFA from Moore College of Art Design in 2017.",EM JENSEN,"Em Jensen is an artist and poet in Philadelphia. Working primarily in video, performance, and sculpture, her work explores the many uses of comedy and satire.

A majority of her work parodies personas of early/mid 2000s reality television. She is interested in how the language of performance and imitative comedy adds a layer of simulation to the already questionable media she appropriates.

Em usually eats dinner at 10 pm and received her BFA from Moore College of Art Design in 2017.


"
37,Alyssa Kreilick,https://little-berlin.squarespace.com/alyssa,," Alyssa Kreilick is an artist whose work includes ideas about the relationship between the artist, the viewer, and the space where art happens.  Her personal and curatorial practice explores questions of imagination informing reality, and the other way around.  Images of the natural world are often involved as a starting point for these ideas.  Currently, Alyssa works in the field of historic preservation and as an illustrator with Morning Circle Media, a local bilingual children's book company.        Past Exhibitions: ovember 2017  Natural Phenomena













  

    
  
    

      

      
        
          
        
        

        
          
            
          
            
              <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1524245531576-W3P1S5MNERMYU6J1WYYC/natural+phenomena.jpeg"" alt=""natural phenomena.jpeg"" />
            
          
        
          
        

        
      
        
      

    
  


  


December 2017 Frito Bastien: Solo Exhibition 













  

    
  
    

      

      
        
          
        
        

        
          
            
          
            
              <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1524245607019-RSERHUZTWKDKBED7SY07/frito+bastien.jpeg"" alt=""frito bastien.jpeg"" />
            
          
        
          
        

        
      
        
      

    
  


  


  ",,"December 2017 Frito Bastien: Solo Exhibition

 "
36,Will Owen,https://little-berlin.squarespace.com/will,,"Will Owen




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1422315824805-BSDOP1BHRHYLXJJT01RT/will_01.jpg"" alt=""will_01.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1453342039573-ELFWEP5M173248DS182Q/BxlcFFiIQAAaeL6.jpg"" alt=""BxlcFFiIQAAaeL6.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-6703a87a00022e6e69cf .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-6703a87a00022e6e69cf .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




Will Owen is an artist working primarily with design, interactive media, sound, and food. Originally from western North Carolina and currently based in both Philadelphia and Queens, NY, Will is interested in the social intersections of the organic & synthetic, memory & perceived reality, and Fozzie Bear & Miss Piggy. Will is currently an artist in resident at Flux Factory in Queens, New York. Will has exhibited domestically at such institutions as: the original site of the Black Mountain College, Museum of the Moving Image, Center for Performance Research, and Philadelphia Water Works Museum. He has exhibited internationally in Wales, Denmark (notably at ARoS Museum and Kunsthal Aarhus), Russia (Museum of Soviet Arcades), and Iceland. Will  was included in a 2014 Harvard peer-reviewed study of the ""most memorable data visualizations"" regarding his design work for the international medical humanitarian aid organization Doctors Without Borders.Past Curatorial / Exhibition Work at Little Berlin & The Annex:July 2014: Between The Act And Motion: Little Berlin at Artscape in BaltimoreAugust 2014: Kevin McNamee-Tweed: Books August 2014: Three Truths and a Lie: A Night of Short FilmsSeptember 2014: Zodiac Dinner Club PhiladelphiaNovember 2015: Pivot: Consuming | SubsumingApril 2016: Jet Lag: Solo Works by Julie BitschSeptember 2016: VillusJuly 2017: ReuptakeAs ArtistNovember 2014: Hard to PleaseNovember 2014: The Floral Kombat FINISH THEM! Dinner PartyApril 2017: Found",WILL OWEN,"


Will Owen is an artist working primarily with design, interactive media, sound, and food. Originally from western North Carolina and currently based in both Philadelphia and Queens, NY, Will is interested in the social intersections of the organic & synthetic, memory & perceived reality, and Fozzie Bear & Miss Piggy. Will is currently an artist in resident at Flux Factory in Queens, New York. Will has exhibited domestically at such institutions as: the original site of the Black Mountain College, Museum of the Moving Image, Center for Performance Research, and Philadelphia Water Works Museum. He has exhibited internationally in Wales, Denmark (notably at ARoS Museum and Kunsthal Aarhus), Russia (Museum of Soviet Arcades), and Iceland. Will  was included in a 2014 Harvard peer-reviewed study of the ""most memorable data visualizations"" regarding his design work for the international medical humanitarian aid organization Doctors Without Borders.

Past Curatorial / Exhibition Work at Little Berlin & The Annex:

July 2014: Between The Act And Motion: Little Berlin at Artscape in Baltimore
August 2014: Kevin McNamee-Tweed: Books
August 2014: Three Truths and a Lie: A Night of Short Films
September 2014: Zodiac Dinner Club Philadelphia
November 2015: Pivot: Consuming | Subsuming
April 2016: Jet Lag: Solo Works by Julie Bitsch
September 2016: Villus
July 2017: Reuptake

As Artist

November 2014: Hard to Please
November 2014: The Floral Kombat FINISH THEM! Dinner Party
April 2017: Found"
35,Amalia Wiatr Lewis,https://little-berlin.squarespace.com/amalia-wiatr,,"AMALIA WIATR LEWIS

 

 

Amalia Wiatr Lewis is an interdisciplinary dance artist. Her dance work asks questions of space, time, and relationships through the exploration of idiosyncratic gesture, somatic practices, and improvisational scores. Her current movement practice uses abstract experiments to explore ideas of domesticity, gender politics, internal psyches, and the self and the other.

 She also makes functional ceramics and sometimes photographs the funny aspects of our built environment.

 

Past Curatorial / Exhibition Work at Little Berlin & The Annex:

January / February 2017: Member Exhibition 2017
September 2017: Now then,

 ",AMALIA WIATR LEWIS,
34,Mary Henjes,https://little-berlin.squarespace.com/mary-henjes,,"MARY HENJES




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1522168811537-1U2F0Q6F5DG9H3LVABO5/29341092_10215927287001248_1804125024_n.jpg"" alt=""29341092_10215927287001248_1804125024_n.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1522168811546-D73NB3WE1IZZHOXBHDAY/29341200_10215927287361257_1221572475_n.jpg"" alt=""29341200_10215927287361257_1221572475_n.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1522168832730-Z6CGCMXVC4K6DQIGHQRX/DSC09353_1250.jpg"" alt=""DSC09353_1250.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1522168835569-PR6RJEBOCCPNS34ZANV4/DSC09376_1250.jpg"" alt=""DSC09376_1250.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1522168835017-DZW05YKHA6PY70I6CJNW/swallowing+1.jpg"" alt=""swallowing 1.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-5d95443680aa55ffc30a .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-5d95443680aa55ffc30a .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




Mary Henjes is a sculptor, writer, and installation artist living and working in Philadelphia. Through the use of material language and dialogue, her work explores ruminations, failures, and shift spaces within topics of memory, home, space, mourning, intimacy, future forms and desires, and the queering of all of the aforementioned topics. Henjes received a BA from Bard College in 2017. cargocollective.com/mhenjes",MARY HENJES,"Mary Henjes is a sculptor, writer, and installation artist living and working in Philadelphia. Through the use of material language and dialogue, her work explores ruminations, failures, and shift spaces within topics of memory, home, space, mourning, intimacy, future forms and desires, and the queering of all of the aforementioned topics. Henjes received a BA from Bard College in 2017.

 

cargocollective.com/mhenjes"
33,Terrill Warrenburg,https://little-berlin.squarespace.com/terrill,www.terrillwarrenburg.com,"Terrill Warrenburg




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1474484560863-P29HPMI65RGO9RK7S0W6/%234_Warrenburg_T_Spot_Digital%2BPrint%2Bon%2BCanvas_2015_500.jpg"" alt=""#4_Warrenburg_T_Spot_Digital+Print+on+Canvas_2015_500.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1474484560698-1EFD2UAVU140GU2D60RJ/%238_Warrenburg_T_Crop_Digital%2BPrint%2Bon%2BCanvas_2015_500.jpg"" alt=""#8_Warrenburg_T_Crop_Digital+Print+on+Canvas_2015_500.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1474484561062-WB2NRTYZY5B330YCJD0Q/%236_Warrenburg_T_Drips_Digital%2BPrint%2Bon%2BCanvas_2015_650.jpg"" alt=""#6_Warrenburg_T_Drips_Digital+Print+on+Canvas_2015_650.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1474484561565-HI2W2CZIEVPC5MV55UQY/%233_Warrenburg_T_Grit_Digital%2BPrint%2Bon%2BCanvas_2015_500.jpg"" alt=""#3_Warrenburg_T_Grit_Digital+Print+on+Canvas_2015_500.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-f32775aef79bf76cb33f .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-f32775aef79bf76cb33f .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




www.terrillwarrenburg.comTerrill Warrenburg is an interdisciplinary artist, independent curator, and graphic designer living in Philadelphia.  Terrill is interested in incorporating as many mistakes as possible into her artistic practice. Exploring the relationship between digital manipulation and delicate, yet deliberate, hand drawn mark-making, Terrill never considers her work complete and returns to her “paintings” at any time. Terrill's curatorial interests include collaborative partnerships, cross-cultural dialog, alternative media, and art's ability to foster empathy between individuals.  Terrill's curated exhibitions at Little Berlin include:Transplant (July 2018)Homecoming (May - June 2018)EST & UTC +5 (January 2018)FOUND (April 2017)Member's Exhibition (Jan - Feb 2017) ",TERRILL WARRENBURG,"Terrill Warrenburg is an interdisciplinary artist, independent curator, and graphic designer living in Philadelphia.  Terrill is interested in incorporating as many mistakes as possible into her artistic practice. Exploring the relationship between digital manipulation and delicate, yet deliberate, hand drawn mark-making, Terrill never considers her work complete and returns to her “paintings” at any time. 

Terrill's curatorial interests include collaborative partnerships, cross-cultural dialog, alternative media, and art's ability to foster empathy between individuals. 

 

Terrill's curated exhibitions at Little Berlin include:

Transplant (July 2018)

Homecoming (May - June 2018)

EST & UTC +5 (January 2018)

FOUND (April 2017)

Member's Exhibition (Jan - Feb 2017) 
"
32,Eric Anthony Berdis,https://little-berlin.squarespace.com/eric-anthony,,"Eric Anthony Berdis




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1489861169927-WC9GMU7S4G46R6FCBEEC/FullSizeRender.jpg"" alt=""FullSizeRender.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1489860964432-VZ4MWPYX34DS6V1KD945/_JLC7189.jpg"" alt=""_JLC7189.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1489860959408-NOV184O70SDKKRPH9BZX/Video+Still+Pufferfish.PNG"" alt=""Video Still Pufferfish.PNG"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1489860964781-3NJAI3FN6SIB769278EZ/_JLC7182.jpg"" alt=""_JLC7182.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1489860971108-S83OUSVN4W9OZUEW5O85/felix%26ross.PNG"" alt=""felix&amp;ross.PNG"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-e70c7b5bc3da8684a4c9 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-e70c7b5bc3da8684a4c9 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




Eric makes work that presents alternative realities that subverts the body, materials and conventions of video and performance as way to contextualize a specific moment. Questioning ideas around “otherness”, binary systems, power and subversion through performance both live and on camera. They use absurdity and pathos to create new mythologies that explore idolatry and fandom while embracing everything perverse.  Eric is currently the Zine Librarian at Little Berlin.  He is interested in supporting the DIY-culture that intersect around theory of Gender and Sexuality.  Originally from Erie, Pennsylvania, they received their BFA from Slippery Rock University. In 2016, they completed a post baccalaureate program with the Fibers & Material Studies Department at Tyler School of Art.  Website: http://cargocollective.com/ericanthonyberdis Past Exhibitions:June 2017: I Grit My Teeth Before It BeginsJune 2017: Bedside Manner Zine Release",ERIC ANTHONY BERDIS,"Eric makes work that presents alternative realities that subverts the body, materials and conventions of video and performance as way to contextualize a specific moment. Questioning ideas around “otherness”, binary systems, power and subversion through performance both live and on camera. They use absurdity and pathos to create new mythologies that explore idolatry and fandom while embracing everything perverse.  

Eric is currently the Zine Librarian at Little Berlin.  He is interested in supporting the DIY-culture that intersect around theory of Gender and Sexuality.  Originally from Erie, Pennsylvania, they received their BFA from Slippery Rock University. In 2016, they completed a post baccalaureate program with the Fibers & Material Studies Department at Tyler School of Art. 

 

Website: http://cargocollective.com/ericanthonyberdis

 

Past Exhibitions:

June 2017: I Grit My Teeth Before It Begins
June 2017: Bedside Manner Zine Release"
31,Ethan Sherman,https://little-berlin.squarespace.com/ethan,,"Ethan PATRICK Sherman




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1490581330383-FC4H56U6KPWDJS4RRAE8/Carbon+2.jpg"" alt=""Carbon 2.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1490581330117-A5UW4JBNIGA1G1TSXN71/De+Cris.jpg"" alt=""De Cris.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1464797609225-KAC6JICALW1HEVLM8VIV/Gurney.jpg"" alt=""Gurney.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1464797647510-5G71E55KX4O0QWC19MBL/ASL.jpg"" alt=""ASL.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-d9894676c6149aae1502 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-d9894676c6149aae1502 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




   http://www.ethanpatricksherman.com/Ethan Patrick Sherman makes work in a variety of mediums including painting, photography, sculpture and artist books. By drawing correlations between ideologies of image making and the psychological construction of the meanings assigned to them, he explores ideas that pre-exist in our environment as emotive information to be recorded. Challenging the stability of memories, his work questions what exactly makes us recall a moment, sensation, sight or place. Past Curatorial / Exhibition Work at Little Berlin:June 2016: DeveloperJuly 2017: Uline OfficialAugust 2017: Lógos ",ETHAN PATRICK SHERMAN,"http://www.ethanpatricksherman.com/

Ethan Patrick Sherman makes work in a variety of mediums including painting, photography, sculpture and artist books. By drawing correlations between ideologies of image making and the psychological construction of the meanings assigned to them, he explores ideas that pre-exist in our environment as emotive information to be recorded. Challenging the stability of memories, his work questions what exactly makes us recall a moment, sensation, sight or place.

 

Past Curatorial / Exhibition Work at Little Berlin:

June 2016: Developer
July 2017: Uline Official
August 2017: Lógos

 "
30,Paige Fetchen,https://little-berlin.squarespace.com/paige,,"PAIGE FETCHEN

Paige Fetchen received her BFA in Fibers from the University of the Arts in Philadelphia.   In 2011, Paige accepted the Textile Artist in Residence position at Lillstreet Art Center in Chicago.  During her time in Chicago, Paige spent time as a textile designer as well as an educator teaching courses in a variety of textile based practices for numerous organizations and schools.  In 2015, Paige returned to Philadelphia as part of the production staff at the Fabric Workshop and Museum.  In addition to her position at FWM, she maintains a full time studio practice working across a wide array of media from sculpture to traditional textile methods.   Paige currently teaches in the Fibers Department at Tyler School of Art and University of the Arts.


",PAIGE FETCHEN,
29,Eric Preisendanz,http://little-berlin.squarespace.com/eric-p,,"Eric Preisendanz is a curator, art consultant, artist and advisor in Philadelphia. His company, Revolvd LLC, designs custom large format temporary exhibitions for non-traditional clients with venues in Philadelphia.  He serves as a creative advisor on the board of Renegade Theatre Company, and is on the Alumni Board for his alma mater, The University of the Arts, where he earned his BFA in Sculpture in 2010. Eric joined Little Berlin in November 0f 2015. 

 

www.revolvd.com

www.littleberlin.org

www.uarts.edu

www.therenegadecompany.org",,
28,Rebekah Flake,http://little-berlin.squarespace.com/rebekah,,"REBEKAH FLAKE




  

  



  
    
      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1453786525788-JVJ1K028ZKO647Q7X0LH/3+Flake+Niagara-Files-Selfie.jpg"" alt=""3 Flake Niagara-Files-Selfie.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1453786536256-JOSTDDAQCDGVWEDOFKVZ/8+Flake+TDDUP+Image.jpg"" alt=""8 Flake TDDUP Image.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1453786533394-XU59BCYX9O4G5EMB683A/10+Screen+Shot+2015-06-20+at+10.40.00+PM.jpg"" alt=""10 Screen Shot 2015-06-20 at 10.40.00 PM.jpg"" />
                
                
              
            
          

          
        

      

        

        

        
          
            
              
                
                
                  
                    View fullsize
                  
                  <img src=""https://images.squarespace-cdn.com/content/v1/5491258be4b09534b33f374b/1453786543057-UQ70U15UYYP3M77NJNQE/17+Flake+Civil+War+First+Shots+Fired+Pledge.jpg"" alt=""17 Flake Civil War First Shots Fired Pledge.jpg"" />
                
                
              
            
          

          
        

      
    
  

  
    
    
    
     
  







#block-253f0f107c228aef7a05 .sqs-gallery-block-grid .sqs-gallery-design-grid { margin-right: -10px; }
#block-253f0f107c228aef7a05 .sqs-gallery-block-grid .sqs-gallery-design-grid-slide .margin-wrapper { margin-right: 10px; margin-bottom: 10px; }




www.rebekahflake.comRebekah Flake uses visual arts and curation to investigate nostalgia and tourism at sites where national identities are exhibited in contemporary culture. Her interdisciplinary practice is based in Philadelphia: the location of the Declaration of Independence and the political birthplace of the American Revolution. She grew up in Mississippi, which has had its own struggle with national definitions. She is specifically interested in places contained within the political boundary of a nation or city. Through documentary and research-based work, she speaks to the intersection of social history and phenomenological experience at play between the material world and personal identifications with place. In her current body of work, called Niagara Files, she creates images and programming to promote reflection on citizenship in North America. The narrative centers on her claiming Canadian citizenship on the basis of her mother’s birth in British Columbia; however, the project is simultaneously a reflection on the history of migration and settlement on our continent and the extent to which all North Americans can relate to some version of a migration narrative.She received an MFA in 2014 from Tyler School of Art and an MA in 2009 from the Williams College Graduate Program in the History of Art.   PROJECTS AT LITTLE BERLINSWING STATE Magali Duzant: A Means to MeasureUnusually HumanOffice Hours with Suzanne Seesman",REBEKAH FLAKE,"www.rebekahflake.com

Rebekah Flake uses visual arts and curation to investigate nostalgia and tourism at sites where national identities are exhibited in contemporary culture. Her interdisciplinary practice is based in Philadelphia: the location of the Declaration of Independence and the political birthplace of the American Revolution. She grew up in Mississippi, which has had its own struggle with national definitions. She is specifically interested in places contained within the political boundary of a nation or city. 

Through documentary and research-based work, she speaks to the intersection of social history and phenomenological experience at play between the material world and personal identifications with place. In her current body of work, called Niagara Files, she creates images and programming to promote reflection on citizenship in North America. The narrative centers on her claiming Canadian citizenship on the basis of her mother’s birth in British Columbia; however, the project is simultaneously a reflection on the history of migration and settlement on our continent and the extent to which all North Americans can relate to some version of a migration narrative.

She received an MFA in 2014 from Tyler School of Art and an MA in 2009 from the Williams College Graduate Program in the History of Art.

 

PROJECTS AT LITTLE BERLIN

SWING STATE 

Magali Duzant: A Means to Measure

Unusually Human

Office Hours with Suzanne Seesman"
